ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,total_emotions,total_sentiments
14706,0.0,0.125,0.0,0.125,0.125,0.5714,0.4286,0.25,0.125,0.25,8,7
14708,0.1223,0.1151,0.1367,0.1079,0.1367,0.5156,0.4844,0.1439,0.0504,0.1871,139,64
14716,0.0,0.2857,0.0714,0.1429,0.1429,0.2857,0.7143,0.1429,0.0714,0.1429,14,7
14721,0.0882,0.0882,0.0588,0.2353,0.0588,0.7368,0.2632,0.2941,0.0588,0.1176,34,19
14722,0.1447,0.1053,0.1316,0.1579,0.1184,0.5714,0.4286,0.1316,0.0395,0.1711,76,42
14723,0.1786,0.0714,0.0714,0.1429,0.1071,0.6923,0.3077,0.2143,0.0714,0.1429,28,13
14724,0.0,0.2381,0.0476,0.1905,0.0952,0.6111,0.3889,0.2857,0.0,0.1429,21,18
14729,0.1268,0.1127,0.0986,0.2254,0.0282,0.7436,0.2564,0.2958,0.0282,0.0845,71,39
14731,0.1304,0.1739,0.1739,0.1739,0.0,0.6364,0.3636,0.2174,0.0435,0.087,23,11
14735,0.0682,0.1818,0.0,0.0455,0.0455,0.3421,0.6579,0.25,0.0227,0.3864,44,38
14738,0.0909,0.1364,0.1818,0.1818,0.0909,0.5385,0.4615,0.1818,0.0,0.1364,22,13
14740,0.1094,0.1719,0.0625,0.1875,0.0469,0.4706,0.5294,0.2031,0.0469,0.1719,64,34
14747,0.0588,0.1765,0.0588,0.2353,0.0,0.5455,0.4545,0.2941,0.0,0.1765,17,11
14751,0.0,0.25,0.0,0.05,0.2,0.3636,0.6364,0.15,0.1,0.25,20,11
14752,0.1429,0.0714,0.0,0.1429,0.0,0.2222,0.7778,0.1429,0.0,0.5,14,9
14755,0.125,0.25,0.0625,0.0938,0.125,0.4444,0.5556,0.0938,0.0938,0.1562,32,9
14757,0.0,0.2727,0.0,0.0909,0.1818,0.5714,0.4286,0.2727,0.0,0.1818,11,7
14760,0.08,0.12,0.04,0.2,0.08,0.5385,0.4615,0.2,0.08,0.2,25,13
14762,0.069,0.1724,0.1379,0.2069,0.069,0.5714,0.4286,0.1724,0.069,0.1034,29,14
