ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,total_emotions,total_sentiments
308,0.0,0.2821,0.0,0.0,0.2564,0.0,1.0,0.0,0.1026,0.359,39,25
309,0.0513,0.1795,0.0513,0.1026,0.2564,0.1364,0.8636,0.0513,0.1282,0.1795,39,22
310,0.0,0.2632,0.0,0.0,0.2105,0.0769,0.9231,0.0,0.1053,0.4211,19,13
311,0.1,0.2,0.0,0.05,0.15,0.1429,0.8571,0.05,0.1,0.35,20,14
312,0.0,0.1333,0.0,0.1333,0.2667,0.0435,0.9565,0.0333,0.0667,0.3667,30,23
313,0.0779,0.1948,0.039,0.0909,0.1818,0.25,0.75,0.0909,0.0909,0.2338,77,40
314,0.0769,0.1538,0.0769,0.1282,0.1795,0.2778,0.7222,0.1026,0.1026,0.1795,39,18
315,0.0,0.2692,0.0,0.0,0.2308,0.0,1.0,0.0,0.1538,0.3462,26,17
316,0.1333,0.1333,0.0889,0.1333,0.1333,0.35,0.65,0.1333,0.0889,0.1556,45,20
317,0.0476,0.2143,0.0,0.0952,0.1905,0.15,0.85,0.0476,0.0952,0.3095,42,20
318,0.0351,0.193,0.0351,0.0351,0.2982,0.1471,0.8529,0.0351,0.0877,0.2807,57,34
319,0.0741,0.1481,0.0,0.1481,0.1111,0.1923,0.8077,0.1111,0.037,0.3704,27,26
320,0.0645,0.2581,0.0,0.0645,0.2581,0.2222,0.7778,0.0323,0.1613,0.1613,31,18
321,0.0227,0.1818,0.0227,0.0682,0.25,0.0,1.0,0.0227,0.1136,0.3182,44,32
322,0.0,0.25,0.0,0.0833,0.25,0.0909,0.9091,0.0,0.0833,0.3333,12,11
323,0.075,0.25,0.025,0.05,0.225,0.1304,0.8696,0.05,0.125,0.2,40,23
324,0.0227,0.1591,0.0455,0.0909,0.1818,0.125,0.875,0.0455,0.1364,0.3182,44,24
325,0.0,0.2353,0.0,0.0,0.1765,0.0,1.0,0.0,0.1176,0.4706,17,11
326,0.0294,0.2647,0.0294,0.0294,0.2353,0.0,1.0,0.0294,0.1176,0.2647,34,20
327,0.0,0.1,0.0,0.1,0.15,0.0,1.0,0.0,0.05,0.6,20,17
328,0.0,0.2778,0.0,0.0,0.1667,0.1429,0.8571,0.0556,0.1111,0.3889,18,14
329,0.0,0.2432,0.0,0.0541,0.2432,0.0435,0.9565,0.0,0.1351,0.3243,37,23
330,0.0,0.3214,0.0,0.0357,0.25,0.1429,0.8571,0.0357,0.1786,0.1786,28,21
331,0.0667,0.2,0.0667,0.0667,0.1333,0.3333,0.6667,0.0667,0.1333,0.2667,15,6
332,0.0417,0.2917,0.0,0.0,0.2917,0.1364,0.8636,0.0,0.0833,0.2917,24,22
333,0.0513,0.2308,0.0256,0.0513,0.2564,0.087,0.913,0.0513,0.1026,0.2308,39,23
334,0.0714,0.2143,0.0357,0.0714,0.1786,0.2222,0.7778,0.1071,0.0714,0.25,28,18
335,0.0385,0.2308,0.0,0.1154,0.2308,0.1818,0.8182,0.0769,0.0769,0.2308,26,22
336,0.0,0.3462,0.0,0.0,0.2692,0.0588,0.9412,0.0,0.1538,0.2308,26,17
337,0.069,0.2414,0.0,0.069,0.2414,0.1176,0.8824,0.0345,0.1379,0.2069,29,17
338,0.0,0.2703,0.0,0.0,0.2703,0.1304,0.8696,0.027,0.1351,0.2973,37,23
339,0.0417,0.25,0.0,0.0833,0.1667,0.0476,0.9524,0.0417,0.0833,0.3333,24,21
340,0.0,0.2963,0.0,0.0,0.2963,0.0952,0.9048,0.0741,0.0741,0.2593,27,21
341,0.0,0.381,0.0,0.0952,0.1905,0.3077,0.6923,0.0476,0.0952,0.1905,21,13
342,0.0,0.2391,0.0,0.0,0.3261,0.0417,0.9583,0.0,0.1304,0.3043,46,24
343,0.0435,0.3043,0.0,0.0435,0.2174,0.1429,0.8571,0.0,0.087,0.3043,23,14
344,0.0408,0.2449,0.0204,0.1224,0.1837,0.2083,0.7917,0.0408,0.0816,0.2653,49,24
345,0.0526,0.2632,0.0526,0.0526,0.2895,0.2609,0.7391,0.0263,0.1053,0.1579,38,23
346,0.0,0.2,0.0,0.0,0.3,0.0769,0.9231,0.05,0.15,0.3,40,26
347,0.0,0.3077,0.0,0.0,0.2308,0.1176,0.8824,0.0,0.1154,0.3462,26,17
348,0.0625,0.0625,0.0,0.125,0.1875,0.1,0.9,0.0625,0.1875,0.3125,16,20
349,0.0213,0.234,0.0213,0.0851,0.234,0.0435,0.9565,0.0213,0.1064,0.2766,47,23
350,0.0263,0.2895,0.0,0.0789,0.2368,0.1739,0.8261,0.0526,0.1053,0.2105,38,23
351,0.0,0.4375,0.0,0.0,0.25,0.1111,0.8889,0.0,0.0625,0.25,16,9
352,0.0385,0.2692,0.0,0.1154,0.1923,0.2667,0.7333,0.0385,0.1538,0.1923,26,15
353,0.0,0.3913,0.0,0.0,0.2609,0.0625,0.9375,0.0,0.0435,0.3043,23,16
354,0.0571,0.1714,0.0,0.0857,0.2,0.0769,0.9231,0.0571,0.0857,0.3429,35,26
355,0.0,0.3,0.0,0.0,0.2,0.0,1.0,0.0,0.1,0.4,20,14
356,0.0,0.1923,0.0,0.0,0.3077,0.0625,0.9375,0.0,0.1538,0.3462,26,16
357,0.1622,0.1081,0.0541,0.2432,0.0811,0.35,0.65,0.1351,0.0541,0.1622,37,20
358,0.0476,0.2857,0.0,0.0714,0.1905,0.125,0.875,0.0476,0.0476,0.3095,42,24
359,0.0,0.2439,0.0,0.0244,0.2195,0.2174,0.7826,0.0488,0.1707,0.2927,41,23
360,0.0476,0.1905,0.0,0.1429,0.2857,0.2143,0.7857,0.0476,0.0476,0.2381,21,14
