ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,total_emotions,total_sentiments
59,0.0227,0.2045,0.0455,0.0682,0.2273,0.25,0.75,0.0682,0.0909,0.2727,44,28
60,0.1132,0.2075,0.0566,0.0755,0.1321,0.3793,0.6207,0.1132,0.1321,0.1698,53,29
61,0.0938,0.1719,0.0469,0.0938,0.1719,0.2857,0.7143,0.1094,0.0469,0.2656,64,35
62,0.0278,0.1944,0.0278,0.1389,0.1944,0.2414,0.7586,0.0833,0.0556,0.2778,36,29
63,0.0351,0.1228,0.0351,0.0877,0.1579,0.2308,0.7692,0.0877,0.1579,0.3158,57,39
64,0.0933,0.16,0.08,0.12,0.1333,0.4242,0.5758,0.1333,0.08,0.2,75,33
65,0.0714,0.1905,0.0476,0.119,0.119,0.2069,0.7931,0.0714,0.0952,0.2857,42,29
66,0.0857,0.1143,0.0286,0.0286,0.1714,0.1667,0.8333,0.1429,0.0857,0.3429,35,30
67,0.0638,0.1702,0.0213,0.1277,0.1915,0.2857,0.7143,0.1064,0.0851,0.234,47,35
68,0.0465,0.186,0.0233,0.0465,0.2093,0.1765,0.8235,0.093,0.1163,0.2791,43,34
69,0.0789,0.1316,0.0263,0.0526,0.2368,0.1429,0.8571,0.0789,0.0,0.3947,38,28
70,0.0877,0.2281,0.0,0.1404,0.1228,0.3415,0.6585,0.1579,0.0702,0.193,57,41
71,0.0513,0.2051,0.0,0.0,0.3333,0.1923,0.8077,0.0769,0.0769,0.2564,39,26
72,0.0597,0.194,0.0448,0.0896,0.1791,0.3429,0.6571,0.1343,0.1045,0.194,67,35
73,0.1081,0.1892,0.0405,0.0811,0.1486,0.3478,0.6522,0.1622,0.0946,0.1757,74,46
74,0.0882,0.1618,0.0294,0.0735,0.2059,0.381,0.619,0.1324,0.1176,0.1912,68,42
75,0.0667,0.1667,0.0167,0.1,0.2,0.3243,0.6757,0.1167,0.0833,0.25,60,37
76,0.1017,0.1525,0.0339,0.0678,0.1695,0.2973,0.7027,0.1186,0.1017,0.2542,59,37
77,0.0769,0.1346,0.0385,0.0962,0.1731,0.2414,0.7586,0.2115,0.0962,0.1731,52,29
78,0.0784,0.1373,0.0392,0.0784,0.1569,0.2927,0.7073,0.2157,0.098,0.1961,51,41
79,0.1224,0.2041,0.0204,0.1224,0.1633,0.3462,0.6538,0.1224,0.0816,0.1633,49,26
80,0.0758,0.1667,0.0152,0.0909,0.1515,0.2632,0.7368,0.1667,0.1061,0.2273,66,38
81,0.0392,0.1765,0.0392,0.0784,0.1961,0.2188,0.7812,0.1176,0.1176,0.2353,51,32
82,0.0781,0.1406,0.0625,0.125,0.1719,0.3902,0.6098,0.1094,0.1406,0.1719,64,41
83,0.025,0.2,0.025,0.025,0.2,0.2143,0.7857,0.075,0.125,0.325,40,28
84,0.0638,0.1064,0.0213,0.1064,0.234,0.3548,0.6452,0.1064,0.0851,0.2766,47,31
85,0.05,0.2,0.025,0.075,0.225,0.1739,0.8261,0.1,0.1,0.225,40,23
86,0.0857,0.2,0.0286,0.0857,0.1429,0.2812,0.7188,0.1143,0.0857,0.2571,35,32
87,0.0588,0.0784,0.1176,0.0784,0.1765,0.3714,0.6286,0.1176,0.1176,0.2549,51,35
88,0.0943,0.1698,0.0566,0.0943,0.1509,0.3667,0.6333,0.1321,0.0755,0.2264,53,30
89,0.0909,0.0455,0.0909,0.0909,0.25,0.3824,0.6176,0.1136,0.1364,0.1818,44,34
90,0.0667,0.1889,0.0667,0.1,0.1778,0.3778,0.6222,0.1,0.1,0.2,90,45
91,0.0196,0.2353,0.0196,0.0588,0.2549,0.129,0.871,0.0196,0.1176,0.2745,51,31
92,0.0435,0.1739,0.0217,0.0435,0.2174,0.1429,0.8571,0.087,0.1087,0.3043,46,28
93,0.0217,0.2174,0.0652,0.0217,0.2391,0.1724,0.8276,0.0217,0.1304,0.2826,46,29
94,0.0,0.2632,0.0263,0.0263,0.2105,0.1429,0.8571,0.1053,0.0526,0.3158,38,28
95,0.0,0.2917,0.0,0.0,0.2083,0.0714,0.9286,0.0625,0.0833,0.3542,48,28
96,0.0182,0.2182,0.0182,0.0364,0.2545,0.0625,0.9375,0.0364,0.1091,0.3091,55,32
97,0.0,0.1837,0.0,0.0,0.2857,0.0526,0.9474,0.0816,0.102,0.3469,49,38
98,0.0556,0.1667,0.037,0.1111,0.2037,0.3235,0.6765,0.0741,0.0926,0.2593,54,34
99,0.0185,0.2222,0.0185,0.0741,0.2222,0.2258,0.7742,0.0556,0.1111,0.2778,54,31
100,0.0426,0.1702,0.0426,0.0213,0.234,0.1282,0.8718,0.0426,0.0851,0.3617,47,39
101,0.0,0.125,0.0,0.0417,0.2917,0.15,0.85,0.125,0.0833,0.3333,24,20
102,0.0,0.1818,0.0,0.0,0.3182,0.0909,0.9091,0.0455,0.0909,0.3636,22,11
103,0.037,0.2222,0.0,0.0741,0.2222,0.25,0.75,0.0741,0.0741,0.2963,27,24
104,0.1304,0.1304,0.0,0.1739,0.2609,0.1111,0.8889,0.0,0.0435,0.2609,23,18
105,0.1176,0.1176,0.0588,0.1471,0.1176,0.4706,0.5294,0.1471,0.1471,0.1471,34,17
106,0.0465,0.2326,0.0698,0.1163,0.1395,0.2963,0.7037,0.1395,0.1163,0.1395,43,27
107,0.0513,0.1538,0.0769,0.0513,0.2308,0.2273,0.7727,0.1026,0.1026,0.2308,39,22
108,0.069,0.1379,0.069,0.0345,0.2069,0.2273,0.7727,0.1034,0.1034,0.2759,29,22
109,0.0698,0.186,0.0698,0.093,0.1395,0.2692,0.7308,0.1163,0.093,0.2326,43,26
110,0.0851,0.1489,0.0638,0.1277,0.1915,0.2963,0.7037,0.0851,0.1064,0.1915,47,27
111,0.0,0.1667,0.0278,0.0278,0.2222,0.2609,0.7391,0.1389,0.1111,0.3056,36,23
112,0.0263,0.1053,0.0526,0.0263,0.2632,0.2692,0.7308,0.1842,0.1579,0.1842,38,26
113,0.0,0.3333,0.0,0.0,0.2222,0.2759,0.7241,0.1111,0.0,0.3333,27,29
114,0.0435,0.2609,0.0435,0.087,0.2174,0.28,0.72,0.1739,0.0,0.1739,23,25
115,0.0755,0.1698,0.0377,0.0566,0.2264,0.2333,0.7667,0.0755,0.0943,0.2642,53,30
116,0.0,0.1765,0.0,0.0588,0.1765,0.3125,0.6875,0.1176,0.0588,0.4118,17,16
117,0.0323,0.1613,0.0,0.0,0.2581,0.1071,0.8929,0.129,0.0645,0.3548,31,28
118,0.0,0.1667,0.0,0.0278,0.2778,0.1212,0.8788,0.0833,0.0278,0.4167,36,33
119,0.0476,0.119,0.0476,0.0476,0.1905,0.2593,0.7407,0.1905,0.0952,0.2619,42,27
120,0.0588,0.1961,0.0392,0.1373,0.1961,0.2903,0.7097,0.1176,0.0588,0.1961,51,31
121,0.0,0.2368,0.0263,0.0526,0.2632,0.069,0.931,0.0263,0.0789,0.3158,38,29
122,0.0435,0.2391,0.0217,0.087,0.1957,0.1795,0.8205,0.0652,0.0435,0.3043,46,39
123,0.0308,0.2,0.0462,0.0462,0.2,0.25,0.75,0.1077,0.0923,0.2769,65,36
124,0.1132,0.1698,0.0566,0.0755,0.1887,0.2857,0.7143,0.0566,0.0755,0.2642,53,28
