ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,total_emotions,total_sentiments
339,0.0,0.1739,0.0,0.0435,0.3043,0.381,0.619,0.2174,0.0,0.2609,23,21
340,0.0545,0.2182,0.0545,0.0727,0.2364,0.3793,0.6207,0.1273,0.0727,0.1636,55,29
341,0.0476,0.1429,0.0,0.0476,0.2857,0.1667,0.8333,0.0952,0.0,0.381,21,18
342,0.1111,0.1667,0.0,0.1111,0.1667,0.3125,0.6875,0.1667,0.0,0.2778,18,16
343,0.1538,0.0769,0.0,0.1538,0.1538,0.375,0.625,0.1538,0.0,0.3077,13,16
344,0.1481,0.1111,0.0741,0.1111,0.1481,0.3529,0.6471,0.1852,0.037,0.1852,27,17
345,0.0769,0.1538,0.0,0.0769,0.2308,0.3077,0.6923,0.2308,0.0,0.2308,13,13
346,0.1,0.2,0.0,0.1,0.2,0.25,0.75,0.1,0.0,0.3,10,12
347,0.0968,0.0968,0.0323,0.0645,0.1613,0.4,0.6,0.1613,0.0645,0.3226,31,20
348,0.087,0.1196,0.0652,0.087,0.2065,0.3696,0.6304,0.1522,0.0761,0.2065,92,46
349,0.0526,0.1579,0.0,0.0,0.3158,0.2857,0.7143,0.1579,0.0,0.3158,19,14
350,0.0714,0.0714,0.0,0.1429,0.0714,0.2941,0.7059,0.3571,0.0,0.2857,14,17
351,0.125,0.125,0.0417,0.1875,0.1042,0.6,0.4,0.2083,0.0625,0.1458,48,20
352,0.0758,0.1212,0.0455,0.1061,0.197,0.375,0.625,0.1667,0.0758,0.2121,66,32
353,0.0455,0.1364,0.0455,0.0909,0.1364,0.4286,0.5714,0.2727,0.0,0.2727,22,14
354,0.0392,0.2549,0.0392,0.0588,0.2353,0.2917,0.7083,0.1176,0.098,0.1569,51,24
355,0.0847,0.2373,0.0678,0.1356,0.1525,0.3929,0.6071,0.1525,0.0169,0.1525,59,28
356,0.0556,0.0926,0.0741,0.1111,0.2037,0.3333,0.6667,0.1852,0.0556,0.2222,54,24
357,0.1154,0.1923,0.0385,0.1154,0.2692,0.2667,0.7333,0.0769,0.0,0.1923,26,15
358,0.037,0.1852,0.037,0.037,0.2222,0.2778,0.7222,0.1481,0.1111,0.2222,27,18
359,0.0286,0.2571,0.0,0.0571,0.2,0.24,0.76,0.1429,0.0286,0.2857,35,25
360,0.0508,0.1695,0.0678,0.1017,0.1695,0.4615,0.5385,0.1695,0.1017,0.1695,59,26
