ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,total_emotions,total_sentiments
203,0.0,0.2727,0.0,0.0,0.3409,0.1538,0.8462,0.0909,0.1136,0.1818,44,26
204,0.0667,0.2333,0.0,0.0667,0.3,0.3043,0.6957,0.0333,0.0667,0.2333,30,23
205,0.0,0.2889,0.0,0.0,0.3556,0.1071,0.8929,0.0444,0.0667,0.2444,45,28
206,0.0,0.28,0.04,0.04,0.36,0.2222,0.7778,0.04,0.04,0.2,25,18
207,0.0667,0.2667,0.0333,0.0333,0.3,0.2105,0.7895,0.0333,0.1333,0.1333,30,19
208,0.0,0.2708,0.0,0.0208,0.3125,0.1667,0.8333,0.0833,0.1042,0.2083,48,30
209,0.0278,0.3333,0.0278,0.0,0.2778,0.25,0.75,0.0278,0.0833,0.2222,36,20
210,0.0465,0.2558,0.0465,0.0233,0.2558,0.2727,0.7273,0.0465,0.093,0.2326,43,22
211,0.0192,0.2692,0.0,0.0385,0.3462,0.1538,0.8462,0.0192,0.1154,0.1923,52,26
212,0.0312,0.25,0.0,0.0,0.3125,0.1765,0.8235,0.0625,0.1562,0.1875,32,17
213,0.0286,0.3143,0.0286,0.0,0.3429,0.16,0.84,0.0286,0.0571,0.2,35,25
214,0.04,0.28,0.02,0.04,0.28,0.1481,0.8519,0.02,0.08,0.24,50,27
215,0.0,0.3333,0.0,0.0,0.3333,0.1111,0.8889,0.0,0.0741,0.2593,27,18
216,0.0435,0.3478,0.0435,0.0435,0.2609,0.3636,0.6364,0.0435,0.087,0.1304,23,11
217,0.0213,0.2766,0.0213,0.0638,0.2766,0.1818,0.8182,0.0638,0.0851,0.1915,47,22
218,0.0,0.2581,0.0,0.0,0.3226,0.2632,0.7368,0.0968,0.0645,0.2581,31,19
219,0.0286,0.2286,0.0,0.0,0.3429,0.0909,0.9091,0.0571,0.0857,0.2571,35,22
220,0.0526,0.3158,0.0,0.0,0.4211,0.2857,0.7143,0.0,0.0,0.2105,19,14
221,0.0,0.3611,0.0,0.0,0.3333,0.05,0.95,0.0278,0.1111,0.1667,36,20
222,0.0476,0.3333,0.0,0.0,0.2857,0.2143,0.7857,0.0,0.1429,0.1905,21,14
223,0.0455,0.2273,0.0455,0.0455,0.2955,0.1429,0.8571,0.0455,0.1136,0.1818,44,21
224,0.0233,0.2558,0.0233,0.0465,0.3256,0.1364,0.8636,0.0233,0.093,0.2093,43,22
225,0.0357,0.25,0.0357,0.0,0.2857,0.1333,0.8667,0.0357,0.1071,0.25,28,15
226,0.0278,0.25,0.0278,0.0,0.3333,0.2273,0.7727,0.0278,0.1111,0.2222,36,22
227,0.0333,0.2,0.0333,0.0,0.3,0.05,0.95,0.0,0.1667,0.2667,30,20
228,0.0,0.375,0.0,0.0625,0.25,0.2308,0.7692,0.0,0.0625,0.25,16,13
229,0.0286,0.3143,0.0286,0.0286,0.3143,0.0455,0.9545,0.0,0.0857,0.2,35,22
230,0.0208,0.25,0.0208,0.0417,0.3333,0.0769,0.9231,0.0208,0.1042,0.2083,48,26
231,0.0,0.2424,0.0,0.0303,0.303,0.1667,0.8333,0.0303,0.1515,0.2424,33,18
232,0.037,0.3333,0.0,0.0,0.2963,0.1875,0.8125,0.0741,0.0741,0.1852,27,16
233,0.0588,0.2353,0.0588,0.0588,0.2941,0.1667,0.8333,0.0588,0.0588,0.1765,17,18
234,0.0,0.2727,0.0455,0.0,0.2727,0.25,0.75,0.0,0.1818,0.2273,22,16
235,0.0233,0.3023,0.0,0.0,0.3256,0.1818,0.8182,0.0465,0.093,0.2093,43,22
236,0.0,0.2581,0.0323,0.0,0.3548,0.1765,0.8235,0.0323,0.0968,0.2258,31,17
237,0.0,0.3077,0.0,0.0,0.3077,0.1875,0.8125,0.0769,0.1154,0.1923,26,16
238,0.0,0.4054,0.0,0.0,0.2973,0.1667,0.8333,0.0,0.0541,0.2432,37,24
239,0.069,0.2069,0.0345,0.069,0.2414,0.3125,0.6875,0.1034,0.1034,0.1724,29,16
240,0.0,0.2581,0.0323,0.0,0.3226,0.1111,0.8889,0.0,0.0968,0.2903,31,18
241,0.0,0.2632,0.0,0.0526,0.4211,0.0,1.0,0.0,0.0526,0.2105,19,14
242,0.0,0.1667,0.0,0.0556,0.3333,0.2,0.8,0.0556,0.1667,0.2222,18,10
243,0.0,0.2105,0.0,0.0526,0.4211,0.1,0.9,0.0526,0.0526,0.2105,19,10
244,0.0,0.2105,0.0,0.0,0.3684,0.0,1.0,0.0,0.0526,0.3684,19,12
245,0.0,0.3182,0.0,0.0,0.3636,0.0769,0.9231,0.0,0.0909,0.2273,22,13
246,0.0,0.36,0.0,0.0,0.36,0.125,0.875,0.04,0.08,0.16,25,16
247,0.0,0.2692,0.0,0.0,0.4231,0.0,1.0,0.0769,0.0769,0.1538,26,15
248,0.0,0.2917,0.0,0.0417,0.375,0.1667,0.8333,0.0417,0.125,0.125,24,12
249,0.0,0.3846,0.0,0.0,0.3077,0.0909,0.9091,0.0,0.0769,0.2308,13,11
250,0.0,0.2857,0.0,0.0,0.4286,0.0909,0.9091,0.0,0.0714,0.2143,14,11
251,0.0,0.1111,0.0,0.0,0.5556,0.0909,0.9091,0.0,0.1111,0.2222,9,11
252,0.0,0.25,0.0,0.0625,0.3125,0.0,1.0,0.0,0.1875,0.1875,16,8
253,0.0,0.3,0.0,0.1,0.4,0.2222,0.7778,0.0,0.0,0.2,10,9
254,0.0,0.2941,0.0,0.0,0.4118,0.0,1.0,0.0,0.1176,0.1765,17,16
255,0.0,0.2308,0.0,0.0,0.3077,0.0,1.0,0.0769,0.1538,0.2308,13,9
256,0.0,0.2692,0.0,0.0,0.3462,0.0,1.0,0.0385,0.1154,0.2308,26,16
257,0.037,0.2593,0.0,0.0,0.3704,0.1111,0.8889,0.037,0.0741,0.2222,27,18
258,0.0,0.2727,0.0,0.0909,0.3636,0.1538,0.8462,0.0,0.0909,0.1818,22,13
259,0.0,0.3158,0.0,0.0526,0.3158,0.0769,0.9231,0.0526,0.1053,0.1579,19,13
260,0.0,0.3077,0.0,0.0,0.4615,0.125,0.875,0.0,0.0,0.2308,13,16
261,0.0,0.2632,0.0,0.0526,0.2632,0.2,0.8,0.0526,0.1579,0.2105,19,10
262,0.0,0.2353,0.0,0.0588,0.2941,0.1,0.9,0.0,0.1176,0.2941,17,10
263,0.0,0.25,0.0,0.0,0.375,0.0,1.0,0.0,0.0,0.375,16,9
264,0.0,0.2273,0.0,0.1364,0.3182,0.0769,0.9231,0.0,0.1364,0.1818,22,13
265,0.0588,0.2353,0.0,0.1176,0.2941,0.2,0.8,0.0588,0.0588,0.1765,17,10
266,0.0,0.2727,0.0,0.0,0.4545,0.1,0.9,0.0,0.0909,0.1818,11,10
267,0.0,0.2353,0.0,0.0,0.4118,0.0,1.0,0.0,0.1176,0.2353,17,10
268,0.0,0.2692,0.0,0.0385,0.3846,0.0667,0.9333,0.0,0.0769,0.2308,26,15
269,0.0,0.2143,0.0,0.0,0.5,0.1111,0.8889,0.0,0.0714,0.2143,14,9
270,0.0,0.2381,0.0476,0.0476,0.3333,0.0667,0.9333,0.0476,0.0476,0.2381,21,15
271,0.0,0.2941,0.0,0.0,0.2941,0.125,0.875,0.0588,0.1765,0.1765,17,8
272,0.0,0.2308,0.0,0.0385,0.3077,0.1667,0.8333,0.0385,0.1538,0.2308,26,12
273,0.0,0.2667,0.0,0.0667,0.4,0.125,0.875,0.0667,0.0667,0.1333,15,8
274,0.0,0.2353,0.0,0.0,0.4118,0.0,1.0,0.0,0.1176,0.2353,17,11
275,0.0,0.2593,0.0,0.037,0.3333,0.0714,0.9286,0.037,0.1481,0.1852,27,14
276,0.0,0.25,0.0,0.0,0.3333,0.0,1.0,0.0833,0.1667,0.1667,12,9
277,0.0,0.25,0.0,0.0417,0.3333,0.1667,0.8333,0.0417,0.1667,0.1667,24,12
278,0.0,0.2667,0.0,0.0,0.4,0.2222,0.7778,0.0667,0.1333,0.1333,15,9
279,0.0,0.2,0.0,0.0333,0.3,0.0769,0.9231,0.1,0.1333,0.2333,30,13
280,0.0,0.3125,0.0,0.0,0.375,0.0,1.0,0.0,0.0625,0.25,16,15
281,0.0,0.3158,0.0,0.0,0.4211,0.0,1.0,0.0526,0.0526,0.1579,19,12
282,0.0,0.2727,0.0,0.0,0.4545,0.0,1.0,0.0,0.1364,0.1364,22,14
283,0.0,0.32,0.0,0.0,0.36,0.0667,0.9333,0.0,0.08,0.24,25,15
284,0.0,0.2,0.0,0.0,0.4667,0.1538,0.8462,0.0,0.0667,0.2667,15,13
285,0.0,0.2857,0.0,0.0,0.4286,0.2222,0.7778,0.0,0.0,0.2857,14,9
286,0.0,0.25,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.25,12,9
287,0.0,0.3,0.0,0.1,0.4,0.1111,0.8889,0.0,0.0,0.2,10,9
288,0.0,0.3125,0.0,0.0,0.4375,0.0,1.0,0.0,0.0625,0.1875,16,10
289,0.0,0.2609,0.0,0.0,0.3043,0.0,1.0,0.087,0.1739,0.1739,23,10
290,0.0,0.2727,0.0,0.0455,0.3636,0.1429,0.8571,0.0455,0.0909,0.1818,22,14
291,0.0,0.2381,0.0,0.0476,0.3333,0.0,1.0,0.0476,0.1429,0.1905,21,13
292,0.0,0.2857,0.0,0.0714,0.3571,0.1667,0.8333,0.0,0.0714,0.2143,14,12
293,0.0,0.25,0.0,0.0,0.4375,0.0833,0.9167,0.0,0.0625,0.25,16,12
294,0.0556,0.2778,0.0,0.0,0.2778,0.2308,0.7692,0.0,0.1111,0.2778,18,13
295,0.0,0.2222,0.0,0.0556,0.3889,0.0833,0.9167,0.0,0.0556,0.2778,18,12
296,0.0,0.2143,0.0,0.0,0.2857,0.0,1.0,0.0,0.1429,0.3571,14,10
297,0.0476,0.1905,0.0,0.0,0.4286,0.0625,0.9375,0.0,0.1429,0.1905,21,16
298,0.0,0.3333,0.0,0.0,0.4667,0.0,1.0,0.0,0.0,0.2,15,8
299,0.0,0.2667,0.0,0.0,0.4,0.0,1.0,0.0,0.1333,0.2,15,10
300,0.0,0.2917,0.0,0.0,0.5,0.0,1.0,0.0,0.0417,0.1667,24,16
301,0.0345,0.2414,0.069,0.1379,0.1724,0.1667,0.8333,0.0345,0.1379,0.1724,29,12
302,0.0,0.2632,0.0,0.0526,0.3421,0.2105,0.7895,0.0263,0.1579,0.1579,38,19
303,0.05,0.25,0.0,0.1,0.3,0.1538,0.8462,0.05,0.1,0.15,20,13
304,0.0,0.2353,0.0,0.0588,0.3529,0.0714,0.9286,0.0,0.1176,0.2353,17,14
305,0.0,0.1818,0.0,0.0455,0.4091,0.0,1.0,0.0,0.0455,0.3182,22,11
306,0.0,0.2,0.0,0.0667,0.3333,0.3,0.7,0.0,0.2667,0.1333,15,10
307,0.0417,0.2917,0.0,0.125,0.25,0.1,0.9,0.0,0.2083,0.0833,24,10
308,0.0385,0.1923,0.0385,0.0769,0.3077,0.1429,0.8571,0.0,0.0769,0.2692,26,14
309,0.08,0.24,0.0,0.12,0.24,0.3333,0.6667,0.08,0.16,0.08,25,12
310,0.0,0.3158,0.0,0.0,0.2632,0.1,0.9,0.0526,0.1053,0.2632,19,10
311,0.0,0.2,0.0,0.1,0.3,0.3333,0.6667,0.1,0.1,0.2,10,12
