ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,total_emotions,total_sentiments
152,0.069,0.1034,0.0345,0.1724,0.2414,0.4091,0.5909,0.0345,0.1379,0.2069,29,22
153,0.1379,0.2069,0.069,0.1379,0.069,0.5,0.5,0.1034,0.1379,0.1379,29,20
154,0.0556,0.1389,0.0833,0.1389,0.1389,0.4737,0.5263,0.1389,0.1111,0.1944,36,19
155,0.0645,0.2258,0.0645,0.1613,0.1613,0.3333,0.6667,0.0968,0.0968,0.129,31,18
156,0.0303,0.1818,0.1212,0.0909,0.2121,0.4091,0.5909,0.0606,0.1515,0.1515,33,22
157,0.0638,0.2128,0.0851,0.1064,0.1702,0.44,0.56,0.1064,0.1277,0.1277,47,25
158,0.1714,0.1429,0.0571,0.1429,0.1143,0.5652,0.4348,0.1429,0.1429,0.0857,35,23
159,0.0217,0.1957,0.0217,0.1087,0.2174,0.2727,0.7273,0.0435,0.1957,0.1957,46,22
160,0.0789,0.1579,0.0526,0.1579,0.1316,0.3889,0.6111,0.1316,0.1579,0.1316,38,18
161,0.0645,0.1774,0.0645,0.0968,0.1935,0.3636,0.6364,0.0806,0.1613,0.1613,62,22
162,0.05,0.2,0.0,0.1,0.15,0.5333,0.4667,0.15,0.15,0.2,20,15
163,0.0652,0.1739,0.087,0.0652,0.2174,0.3043,0.6957,0.0652,0.1304,0.1957,46,23
164,0.04,0.16,0.04,0.12,0.28,0.25,0.75,0.04,0.2,0.12,25,16
165,0.0741,0.1852,0.037,0.1111,0.1481,0.3333,0.6667,0.037,0.1852,0.2222,27,15
166,0.1,0.125,0.075,0.15,0.15,0.5238,0.4762,0.125,0.15,0.125,40,21
167,0.1042,0.1458,0.0625,0.1458,0.1667,0.4091,0.5909,0.0833,0.125,0.1667,48,22
168,0.0571,0.2286,0.0857,0.1429,0.1143,0.4706,0.5294,0.1429,0.1429,0.0857,35,17
169,0.0,0.2609,0.0435,0.1739,0.087,0.4706,0.5294,0.0435,0.2174,0.1739,23,17
170,0.0769,0.1538,0.1282,0.0769,0.1795,0.3529,0.6471,0.0256,0.1538,0.2051,39,17
171,0.0476,0.2619,0.0714,0.0476,0.1667,0.4762,0.5238,0.0714,0.1667,0.1667,42,21
172,0.0667,0.1667,0.0667,0.1,0.2,0.3889,0.6111,0.0667,0.1667,0.1667,30,18
173,0.1163,0.1395,0.093,0.1163,0.1395,0.3913,0.6087,0.1163,0.1163,0.1628,43,23
174,0.0,0.2258,0.0323,0.0645,0.2581,0.1739,0.8261,0.0323,0.129,0.2581,31,23
175,0.0556,0.1667,0.0833,0.1111,0.1944,0.3214,0.6786,0.1389,0.0833,0.1667,36,28
176,0.0577,0.2308,0.0577,0.0769,0.1923,0.2593,0.7407,0.0769,0.1346,0.1731,52,27
177,0.0606,0.1818,0.0303,0.1212,0.2121,0.4444,0.5556,0.0606,0.1818,0.1515,33,18
178,0.2222,0.1667,0.0,0.2222,0.0556,0.4375,0.5625,0.0,0.1667,0.1667,18,16
179,0.0741,0.1852,0.0926,0.0926,0.1852,0.3438,0.6562,0.0741,0.1667,0.1296,54,32
180,0.1034,0.1724,0.0517,0.1034,0.1552,0.3571,0.6429,0.0862,0.1379,0.1897,58,28
181,0.04,0.24,0.08,0.0,0.24,0.2,0.8,0.04,0.16,0.2,25,15
182,0.0,0.24,0.08,0.0,0.24,0.1333,0.8667,0.0,0.16,0.28,25,15
183,0.0312,0.25,0.0625,0.0312,0.1875,0.2,0.8,0.0312,0.1562,0.25,32,15
